[UE1] [2025-07-19 11:35:49] [  5]  70.00-71.00  sec  3.58 MBytes  30.0 Mbits/sec  0.230 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:50] [  5]  71.00-72.00  sec  3.58 MBytes  30.0 Mbits/sec  0.187 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:51] [  5]  72.00-73.00  sec  3.57 MBytes  30.0 Mbits/sec  0.187 ms  0/2588 (0%)
[UE1] [2025-07-19 11:35:52] [  5]  73.00-74.00  sec  3.57 MBytes  30.0 Mbits/sec  0.098 ms  0/2587 (0%)
[UE1] [2025-07-19 11:35:53] [  5]  74.00-75.00  sec  3.58 MBytes  30.1 Mbits/sec  0.126 ms  0/2595 (0%)
[UE1] [2025-07-19 11:35:54] [  5]  75.00-76.00  sec  3.58 MBytes  30.0 Mbits/sec  0.111 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:55] [  5]  76.00-77.00  sec  3.58 MBytes  30.0 Mbits/sec  0.112 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:56] [  5]  77.00-78.00  sec  3.58 MBytes  30.0 Mbits/sec  0.162 ms  0/2592 (0%)
[UE1] [2025-07-19 11:35:57] [  5]  78.00-79.00  sec  3.57 MBytes  30.0 Mbits/sec  0.205 ms  0/2587 (0%)
[UE1] [2025-07-19 11:35:58] [  5]  79.00-80.00  sec  3.58 MBytes  30.0 Mbits/sec  0.133 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:59] [  5]  80.00-81.00  sec  3.58 MBytes  30.0 Mbits/sec  0.158 ms  0/2591 (0%)
[UE1] [2025-07-19 11:36:00] [  5]  81.00-82.00  sec  3.57 MBytes  30.0 Mbits/sec  0.068 ms  3/2589 (0.12%)
[UE1] [2025-07-19 11:36:01] [  5]  82.00-83.00  sec  3.58 MBytes  30.0 Mbits/sec  0.240 ms  0/2590 (0%)
[UE1] [2025-07-19 11:36:02] [  5]  83.00-84.00  sec  3.58 MBytes  30.0 Mbits/sec  0.108 ms  0/2590 (0%)
